C00001;H2O_Water;CHEMBL1098659;15377;
C00002;ATP_Adenosine 5'-triphosphate;CHEMBL14249;15422;
C00003;NAD+_NAD;CHEMBL1234613;15846;
C00004;NADH_DPNH;;16908;
C00005;NADPH_TPNH;CHEMBL1594246;16474;
C00006;NADP+_NADP;CHEMBL1623886;18009;
C00007;Oxygen_O2;CHEMBL1234886;15379;
C00008;ADP_Adenosine 5'-diphosphate;CHEMBL14830;16761;
C00009;Orthophosphate_Phosphate;CHEMBL1187;18367;
C00010;CoA_Coenzyme A;CHEMBL1213327;15346;
C00011;CO2_Carbon dioxide;CHEMBL1231871;16526;
C00012;Peptide;;16670;comment: Generic
C00013;Diphosphate_Diphosphoric acid;CHEMBL1160571;18361;
C00014;Ammonia_NH3;CHEMBL1160819;16134;
C00015;UDP_Uridine 5'-diphosphate;CHEMBL130266;17659;
C00016;FAD_Flavin adenine dinucleotide;CHEMBL1232653;16238;
C00017;Protein;;16541;comment: Generic
C00018;Pyridoxal;CHEMBL82202;18405;
C00019;S-Adenosyl-L-methionine_S-Adenosylmethionine;CHEMBL1088977;15414;
C00020;AMP_Adenosine 5'-monophosphate;CHEMBL752;16027;
C00021;S-Adenosyl-L-homocysteine_S-Adenosylhomocysteine;CHEMBL142828;16680;
C00022;Pyruvate_Pyruvic acid;CHEMBL1162144;15361;
C00024;Acetyl-CoA_Acetyl coenzyme A;;15351;
C00025;L-Glutamate_L-Glutamic acid;CHEMBL575060;16015;
C00026;2-Oxoglutarate_Oxoglutaric acid;CHEMBL1686;16810;
C00027;Hydrogen;CHEMBL71595;16240;
C00029;UDP-glucose_UDPglucose;CHEMBL375951;18066;
C00031;D-Glucose_Grape sugar;CHEMBL1222250;4167;comment: alpha-D-Glucose
C00032;Heme_Haem;;17627;
C00033;Acetate_Acetic acid;CHEMBL539;15366;
C00034;Manganese;;18291;comment: Manganese
C00035;GDP_Guanosine 5'-diphosphate;CHEMBL384759;17552;
C00036;Oxaloacetate_Oxalacetic acid;CHEMBL1794791;16452;
C00037;Glycine_Aminoacetic acid;CHEMBL773;15428;
C00038;Zinc;CHEMBL1236970;27363;
C00039;DNA_DNAn;;16991;comment: Generic
C00040;Acyl-CoA_Acyl coenzyme A;;17984;comment: Generic
C00041;L-Alanine_L-2-Aminopropionic acid;CHEMBL279597;16977;
C00042;Succinate_Succinic acid;CHEMBL576;15741;
C00043;UDP-N-acetyl-alpha-D-glucosamine_UDP-N-acetyl-D-glucosamine;;16264;
C00044;GTP_Guanosine 5'-triphosphate;CHEMBL1233147;15996;
C00045;Amino;;33704;comment: Generic
C00046;RNA_RNAn;;18273;comment: Generic
C00047;L-Lysine_Lysine acid;CHEMBL8085;18019;
C00048;Glyoxylate_Glyoxalate;CHEMBL1162545;16891;
C00049;L-Aspartate_L-Aspartic acid;CHEMBL274323;17053;
C00051;Glutathione_5-L-Glutamyl-L-cysteinylglycine;CHEMBL1514919;16856;
C00052;UDP-alpha-D-galactose_UDP-D-galactose;CHEMBL439009;18307;
C00053;3'-Phosphoadenylyl;;17980;
C00054;Adenosine;CHEMBL574817;17985;
C00055;CMP_Cytidine-5'-monophosphate;CHEMBL307679;17361;
C00058;Formate_Methanoic acid;CHEMBL116736;15740;
C00059;Sulfate_Sulfuric acid;CHEMBL572964;16189;
C00061;FMN_Riboflavin-5-phosphate;CHEMBL1201794;17621;
C00062;L-Arginine_(S)-2-Amino-5-guanidinovaleric acid;CHEMBL1485;16467;
C00063;CTP_Cytidine 5'-triphosphate;CHEMBL223533;17677;
C00064;L-Glutamine_L-2-Aminoglutaramic acid;CHEMBL930;18050;
C00065;L-Serine_L-2-Amino-3-hydroxypropionic acid;CHEMBL11298;17115;
C00067;Formaldehyde_Methanal;CHEMBL1255;16842;
C00068;Thiamin;CHEMBL1236235;9532;
C00070;Copper_Cu+;;28694;comment: Copper
C00071;Aldehyde_RCHO;;17478;comment: Generic
C00072;Ascorbate_Ascorbic acid;CHEMBL196;29073;
C00073;L-Methionine_Methionine;CHEMBL42336;16643;
C00074;Phosphoenolpyruvate_Phosphoenolpyruvic acid;CHEMBL1235228;18021;
C00075;UTP_Uridine 5'-triphosphate;CHEMBL336296;15713;
C00076;Calcium;;22984;
C00077;L-Ornithine_(S)-2,5-Diaminovaleric acid;CHEMBL446143;15729;
